,Date,Away,Home,Actual,Spread_1,Spread_2,Spread_3,Spread_4,Spread_5,Spread_6,Spread_7,Spread_8,Spread_9,Spread_10,Spread_11,Spread_12,Spread_13,Spread_14,Spread_CV
96,3/19/2025,Houston Rockets,Orlando Magic,NA,1,1.993483424,-8.62,12.56,1.809222995,5.280881405,-2.918198797,-2.9617,-3.28,2.832408747,-10.34380149,NA,-13.92015501,-1,-8
97,3/19/2025,Detroit Pistons,Miami Heat,NA,-1,5.448052406,-5.71,3.84,-4.344904949,4.937196732,-3.162195496,-3.383966667,-1,-8.849188584,-16.06166116,NA,-2.399564485,-2,-10
98,3/19/2025,New Orleans Pelicans,Minnesota Timberwolves,NA,15,1.447541833,5.858680725,6.78,7.626489615,1.188251138,13.41031301,11.9687,5.66,11.44202186,2.314290763,NA,10.73966132,12,5
99,3/19/2025,Philadelphia 76ers,Oklahoma City Thunder,NA,16,8.150697708,13.0585022,16.91,10.5516253,6.361756325,15.2331732,17.0364,8.28,18.59107153,17.49730517,NA,22.9711667,19,18
100,3/19/2025,New York Knicks,San Antonio Spurs,NA,-4,3.348658085,1.033042908,-3.55,-2.71430399,-2.716861248,-2.936472765,-5.802366667,-3.64,4.944924126,-4.118989887,NA,-1.406856432,-1,2
101,3/19/2025,Los Angeles Clippers,Utah Jazz,NA,-7,-1.534966707,4.095870972,-15.49,-0.971741438,-2.348033428,-5.892492232,NA,-5.01,1.02158749,6.338362188,NA,-0.67538734,-12,-9
102,3/19/2025,Toronto Raptors,Golden State Warriors,NA,11,3.551252365,3.385749817,-4.12,8.511066435,9.394483566,4.27587383,5.0656,3.91,26.09260356,5.209150327,NA,2.668471367,9,11
103,3/19/2025,Denver Nuggets,Los Angeles Lakers,NA,-10,1.564835668,-4.39,2.48,0.49302355,7.914462566,-0.462556386,-2.8535,-1.11,-4.371412721,-2.36629606,NA,0.290102861,3,1
104,3/19/2025,Chicago Bulls,Phoenix Suns,NA,2,-3.527788639,-5.09,6.02,3.685030755,-5.669023991,0.419443932,3.701433333,0.72,-4.819581409,-1.248841551,NA,-0.727635132,8,4
105,3/19/2025,Memphis Grizzlies,Portland Trail Blazers,NA,-24,-3.440672398,-9.3,-29.68,1.625425114,-10.11192322,-6.6843582,-6.648833333,-5.81,-0.358296971,-1.841514068,NA,-11.28168917,-9,-21
106,3/19/2025,Cleveland Cavaliers,Sacramento Kings,NA,-14,4.052624226,-7.55,7.88,-7.36008744,-4.565985203,-4.173666402,-4.806533333,-3,-3.89194842,-4.421502439,NA,-5.220945269,-4,-1
107,3/20/2025,New York Knicks,Charlotte Hornets,NA,-2,-2.595304251,-10.48,-9.05,-10.59730259,-18.55960846,-8.756616685,-5.613066667,-6.43,0.790236291,-12.67505226,NA,-10.49797229,-5,-14
108,3/20/2025,Brooklyn Nets,Indiana Pacers,NA,3,1.944702625,10.34151459,2.54,6.264368389,4.448811531,4.76879968,6.103633333,3.79,-3.354494487,14.36182557,NA,12.07307398,11,8
109,3/20/2025,Milwaukee Bucks,Golden State Warriors,NA,-6,4.198207855,0.740623474,13.64,0.010539078,4.488219738,1.812219138,-2.3818,0.03,23.05544806,2.441992701,NA,0.735303052,4,10
110,3/20/2025,Chicago Bulls,Sacramento Kings,NA,9,3.510288954,-1.37,6.44,2.396886774,3.881237745,3.018636244,4.831533333,2.85,15.21238665,2.372959014,NA,1.048789806,14,3
111,3/21/2025,Orlando Magic,Washington Wizards,NA,-10,-5.70166254,8.802261353,-22.83,-0.881339304,-5.840702534,-9.119095962,-3.685966667,-2.73,-12.81854779,6.205931552,NA,1.623515521,-19,-9
112,3/21/2025,Houston Rockets,Miami Heat,NA,-9,6.183897018,-1.77,3.67,3.151341338,7.564378262,-4.046083196,-2.034266667,-3.14,8.751346939,-3.074688095,NA,-9.113358118,-10,-4
113,3/21/2025,New Orleans Pelicans,Minnesota Timberwolves,NA,15,1.447541833,5.858680725,6.78,7.626489615,1.188251138,13.41031301,11.9687,5.66,11.44202186,2.375012176,NA,10.73966132,12,5
114,3/21/2025,Charlotte Hornets,Oklahoma City Thunder,NA,12,7.385970116,16.46018982,13.08,16.38225387,27.6177206,20.11093678,14.7943,10.26,40.65162175,28.77603836,NA,24.48635268,23,20
115,3/21/2025,Philadelphia 76ers,San Antonio Spurs,NA,8,1.354881287,9.302932739,-3.81,2.98415536,-6.103606701,1.951405358,4.264866667,1,-3.333438205,2.316879671,NA,8.154489557,3,4
116,3/21/2025,Detroit Pistons,Dallas Mavericks,NA,-7,0.37008515,-3.63,-16.07,-2.289931231,1.961657643,1.108471654,1.1335,0.34,-8.728811953,-14.50234712,NA,1.623515521,1,-21
117,3/21/2025,Boston Celtics,Utah Jazz,NA,-21,-2.476954937,-3.85,-5.37,-8.115012226,-5.705556393,-16.16473855,-8.762633333,-7.86,-18.15197275,0.75989682,NA,2.53675793,-17,-4
118,3/21/2025,Cleveland Cavaliers,Phoenix Suns,NA,-9,-3.636244297,-11.08,-23.11,-3.917048632,-10.65513802,-6.772858713,-8.013866667,-7.18,-23.92391648,-8.043303004,NA,-6.997370207,-9,-19
119,3/21/2025,Denver Nuggets,Portland Trail Blazers,NA,-3,-3.634996176,-5.67,-13.87,-2.606531615,-2.497952461,-7.650320148,-1.850133333,-4.47,-7.477593012,-6.441217988,NA,-5.143667537,-1,-7
120,3/21/2025,Memphis Grizzlies,Los Angeles Clippers,NA,-1,2.586364269,-9.95,12.79,2.96541956,5.693855286,2.047423635,-0.2919,-1.82,-1.39090679,2.13235627,NA,-7.937830468,-1,-1
