Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On Kent,Minnesota,Kent,10,7,9/19/2015,24,W,94.3,Visitor,2015-16,Regular
Play On Air Force,Michigan State,Air Force,35,21,9/19/2015,24.5,W,94.3,Visitor,2015-16,Regular
Play On Northwestern,Duke,Northwestern,10,19,9/19/2015,3.5,W,94.3,Visitor,2015-16,Regular
Play On Georgia State,Oregon,Georgia State,61,28,9/19/2015,42.5,W,94.3,Visitor,2015-16,Regular
Play On Troy,Wisconsin,Troy,28,3,9/19/2015,29,W,94.3,Visitor,2015-16,Regular
Play On Northern Illinois,Ohio State,Northern Illinois,20,13,9/19/2015,34.5,W,94.3,Visitor,2015-16,Regular
Play On Southern Miss,Texas State,Southern Miss,50,56,9/19/2015,1.5,W,94.3,Visitor,2015-16,Regular
Play On South Alabama,San Diego State,South Alabama,27,34,9/19/2015,17.5,W,94.3,Visitor,2015-16,Regular
Play On Pittsburgh,Iowa,Pittsburgh,27,24,9/19/2015,4,W,94.3,Visitor,2015-16,Regular
Play On Mississippi,Alabama,Mississippi,37,43,9/19/2015,7.5,W,95.2,Visitor,2015-16,Regular
Play On Virginia Tech,Purdue,Virginia Tech,24,51,9/19/2015,-5.5,W,96.2,Visitor,2015-16,Regular
Play On Florida,Kentucky,Florida,9,14,9/19/2015,-3.5,W,96.2,Visitor,2015-16,Regular
Play On Texas Tech,Arkansas,Texas Tech,24,35,9/19/2015,9.5,W,97.1,Visitor,2015-16,Regular
Play On Buffalo,Florida Atlantic,Buffalo,15,33,9/19/2015,2.5,W,99,Visitor,2015-16,Regular
Play On Louisiana Tech,Kansas State,Louisiana Tech,39,33,9/19/2015,10,W,99,Visitor,2015-16,Regular
Play On Utah,Fresno State,Utah,24,45,9/19/2015,-11.5,W,100,Visitor,2015-16,Regular
Play On Wyoming,Washington State,Wyoming,31,14,9/19/2015,25.5,W,102,Visitor,2015-16,Regular
Play On BYU,UCLA,BYU,24,23,9/19/2015,16.5,W,102,Visitor,2015-16,Regular
Play On UNLV,Michigan,UNLV,28,7,9/19/2015,32,W,103,Visitor,2015-16,Regular
Play On Tulsa,Oklahoma,Tulsa,52,38,9/19/2015,31,W,113,Visitor,2015-16,Regular
Play On Cincinnati,Memphis,Cincinnati,53,46,9/24/2015,7.5,W,92.6,Visitor,2015-16,Regular
Play On Boise State,Virginia,Boise State,14,56,9/25/2015,1,W,83.3,Visitor,2015-16,Regular
Play On Stanford,Oregon State,Stanford,24,42,9/25/2015,-14,W,94.3,Visitor,2015-16,Regular
Play On San Diego State,Penn State,San Diego State,37,21,9/26/2015,14,L,-100,Visitor,2015-16,Regular
Play On Arkansas State,Toledo,Arkansas State,37,7,9/26/2015,4,L,-100,Visitor,2015-16,Regular
Play On LSU,Syracuse,LSU,24,34,9/26/2015,-23.5,L,-100,Visitor,2015-16,Regular
Play On Central Florida,South Carolina,Central Florida,31,14,9/26/2015,14,L,-100,Visitor,2015-16,Regular
Play On Missouri,Kentucky,Missouri,21,13,9/26/2015,3,L,-100,Visitor,2015-16,Regular
Play On Tennessee,Florida,Tennessee,28,27,9/26/2015,-1,L,-100,Visitor,2015-16,Regular
Play On Virginia Tech,East Carolina,Virginia Tech,35,28,9/26/2015,-10,L,-100,Visitor,2015-16,Regular
Play On Samford,Louisville,Samford,45,3,9/26/2015,29,L,-100,Visitor,2015-16,Regular
Play On Georgia Tech,Duke,Georgia Tech,34,20,9/26/2015,-7.5,L,-100,Visitor,2015-16,Regular
Play On BYU,Michigan,BYU,31,0,9/26/2015,7,L,-100,Visitor,2015-16,Regular
Play On North Texas,Iowa,North Texas,62,16,9/26/2015,25.5,L,-100,Visitor,2015-16,Regular
Play On Maryland,West Virginia,Maryland,45,6,9/26/2015,17,L,-100,Visitor,2015-16,Regular
Play On TCU,Texas Tech,TCU,52,55,9/26/2015,-5,L,-100,Visitor,2015-16,Regular
Play On Texas State,Houston,Texas State,59,14,9/26/2015,17.5,L,-100,Visitor,2015-16,Regular
