Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On Illinois,Maryland,Illinois,63,33,10/27/2018,16.5,L,-100,Visitor,2018-19,Regular
Play On Oregon,Arizona,Oregon,44,15,10/27/2018,-7.5,L,-100,Visitor,2018-19,Regular
Play On North Carolina,Virginia,North Carolina,31,21,10/27/2018,7.5,L,-100,Visitor,2018-19,Regular
Play On Southern Miss,Charlotte U,Southern Miss,20,17,10/27/2018,-6.5,L,-100,Visitor,2018-19,Regular
Play On Cincinnati,SMU,Cincinnati,20,26,10/27/2018,-9.5,L,-100,Visitor,2018-19,Regular
Play On New Mexico State,Texas State,New Mexico State,27,20,10/27/2018,0,L,-100,Visitor,2018-19,Regular
Play On Texas A&M,Mississippi St,Texas A&M,28,13,10/27/2018,1.5,L,-100,Visitor,2018-19,Regular
Play On Navy,Notre Dame,Navy,44,22,10/27/2018,22,P,0,Neutral,2018-19,Regular
Play On Notre Dame,Notre Dame,Navy,44,22,10/27/2018,-22,P,0,Neutral,2018-19,Regular
Play On Boise State,Air Force,Boise State,38,48,10/27/2018,-10,P,0,Visitor,2018-19,Regular
Play On Tulane,Tulsa,Tulane,17,24,10/27/2018,-1,W,84,Visitor,2018-19,Regular
Play On Army,Eastern Michigan,Army,22,37,10/27/2018,-1.5,W,86.2,Visitor,2018-19,Regular
Play On Wake Forest,Louisville,Wake Forest,35,56,10/27/2018,3,W,89.3,Visitor,2018-19,Regular
Play On Tennessee,South Carolina,Tennessee,27,24,10/27/2018,10.5,W,89.3,Visitor,2018-19,Regular
Play On Arizona State,USC,Arizona State,35,38,10/27/2018,3,W,90.1,Visitor,2018-19,Regular
Play On Kentucky,Missouri,Kentucky,14,15,10/27/2018,7.5,W,90.1,Visitor,2018-19,Regular
Play On Rice,North Texas,Rice,41,17,10/27/2018,30,W,90.1,Visitor,2018-19,Regular
Play On Middle Tenn St,Old Dominion,Middle Tenn St,17,51,10/27/2018,-4,W,90.9,Visitor,2018-19,Regular
Play On Florida Intl,Western Kentucky,Florida Intl,17,38,10/27/2018,-3,W,91.7,Visitor,2018-19,Regular
Play On Northern Illinois,BYU,Northern Illinois,6,7,10/27/2018,6.5,W,92.6,Visitor,2018-19,Regular
Play On Oregon State,Colorado,Oregon State,34,41,10/27/2018,26.5,W,92.6,Visitor,2018-19,Regular
Play On UAB,UTEP,UAB,0,19,10/27/2018,-15.5,W,94.3,Visitor,2018-19,Regular
Play On Coastal Carolina,Georgia State,Coastal Carolina,34,37,10/27/2018,-2.5,W,94.3,Visitor,2018-19,Regular
Play On Clemson,Florida State,Clemson,10,59,10/27/2018,-18,W,94.3,Visitor,2018-19,Regular
Play On Georgia,Florida,Georgia,17,36,10/27/2018,-7,W,98,Neutral,2018-19,Regular
Play On Washington State,Stanford,Washington State,38,41,10/27/2018,2.5,W,100,Visitor,2018-19,Regular
Play On Massachusetts,Connecticut,Massachusetts,17,22,10/27/2018,-3.5,W,103,Visitor,2018-19,Regular
Play On Vanderbilt,Arkansas,Vanderbilt,31,45,10/27/2018,-1,W,105,Visitor,2018-19,Regular
Play On Miami Ohio,Buffalo,Miami Ohio,51,42,10/30/2018,7,L,-100,Visitor,2018-19,Regular
Play On Kent,Bowling Green,Kent,28,35,10/30/2018,0,W,83.3,Visitor,2018-19,Regular
Play On Ball State,Toledo,Ball State,45,13,10/31/2018,19.5,L,-100,Visitor,2018-19,Regular
Play On Temple,Central Florida,Temple,52,40,11/1/2018,10,L,-100,Visitor,2018-19,Regular
Play On Ohio,Western Michigan,Ohio,14,59,11/1/2018,-3,W,82.6,Visitor,2018-19,Regular
Play On Northern Illinois,Akron,Northern Illinois,26,36,11/1/2018,-6,W,94.3,Visitor,2018-19,Regular
Play On Colorado,Arizona,Colorado,42,34,11/2/2018,3,L,-100,Visitor,2018-19,Regular
Play On Western Kentucky,Middle Tenn St,Western Kentucky,29,10,11/2/2018,12,L,-100,Visitor,2018-19,Regular
Play On Pittsburgh,Virginia,Pittsburgh,13,23,11/2/2018,7,W,94.3,Visitor,2018-19,Regular
Play On Penn State,Michigan,Penn State,42,7,11/3/2018,10.5,L,-100,Visitor,2018-19,Regular
Play On Georgia Southern,UL Monroe,Georgia Southern,44,25,11/3/2018,-7,L,-100,Visitor,2018-19,Regular
Play On Marshall,Southern Miss,Marshall,26,24,11/3/2018,-3,L,-100,Visitor,2018-19,Regular
Play On UL Lafayette,Troy,UL Lafayette,26,16,11/3/2018,7.5,L,-100,Visitor,2018-19,Regular
Play On Iowa,Purdue,Iowa,38,36,11/3/2018,1.5,L,-100,Visitor,2018-19,Regular
Play On Navy,Cincinnati,Navy,42,0,11/3/2018,13,L,-100,Visitor,2018-19,Regular
Play On Oklahoma,Texas Tech,Oklahoma,46,51,11/3/2018,-14,L,-100,Visitor,2018-19,Regular
Play On Minnesota,Illinois,Minnesota,55,31,11/3/2018,-8.5,L,-100,Visitor,2018-19,Regular
Play On San Diego State,New Mexico,San Diego State,23,31,11/3/2018,-12.5,L,-100,Visitor,2018-19,Regular
Play On UTSA,UAB,UTSA,52,3,11/3/2018,22,L,-100,Visitor,2018-19,Regular
Play On Houston,SMU,Houston,45,31,11/3/2018,-14,L,-100,Visitor,2018-19,Regular
Play On South Alabama,Arkansas State,South Alabama,38,14,11/3/2018,14,L,-100,Visitor,2018-19,Regular
Play On Liberty,Massachusetts,Liberty,62,59,11/3/2018,-1.5,L,-100,Visitor,2018-19,Regular
Play On Texas A&M,Auburn,Texas A&M,28,24,11/3/2018,3.5,L,-100,Visitor,2018-19,Regular
Play On Florida State,NC State,Florida State,47,28,11/3/2018,9.5,L,-100,Visitor,2018-19,Regular
Play On Oklahoma State,Baylor,Oklahoma State,35,31,11/3/2018,-6,L,-100,Visitor,2018-19,Regular
Play On Louisville,Clemson,Louisville,77,16,11/3/2018,38,L,-100,Visitor,2018-19,Regular
Play On Louisiana Tech,Mississippi St,Louisiana Tech,45,3,11/3/2018,23,L,-100,Visitor,2018-19,Regular
Play On Connecticut,Tulsa,Connecticut,49,19,11/3/2018,19,L,-100,Visitor,2018-19,Regular
Play On Utah,Arizona State,Utah,38,20,11/3/2018,-7.5,L,-100,Visitor,2018-19,Regular
Play On UCLA,Oregon,UCLA,42,21,11/3/2018,10.5,L,-100,Visitor,2018-19,Regular
Play On West Virginia,Texas,West Virginia,41,42,11/3/2018,-1,P,0,Visitor,2018-19,Regular
Play On Notre Dame,Northwestern,Notre Dame,21,31,11/3/2018,-10,P,0,Visitor,2018-19,Regular
Play On Kansas State,TCU,Kansas State,14,13,11/3/2018,10,W,85.5,Visitor,2018-19,Regular
Play On Alcorn State,New Mexico State,Alcorn State,52,42,11/3/2018,12.5,W,87,Visitor,2018-19,Regular
Play On Georgia,Kentucky,Georgia,17,34,11/3/2018,-9.5,W,87.7,Visitor,2018-19,Regular
Play On South Carolina,Mississippi,South Carolina,44,48,11/3/2018,2,W,88.5,Visitor,2018-19,Regular
Play On Tulane,South Florida,Tulane,15,41,11/3/2018,5.5,W,89.3,Visitor,2018-19,Regular
Play On Syracuse,Wake Forest,Syracuse,24,41,11/3/2018,-6,W,90.1,Visitor,2018-19,Regular
Play On California,Washington State,California,19,13,11/3/2018,7.5,W,90.1,Visitor,2018-19,Regular
Play On UTEP,Rice,UTEP,26,34,11/3/2018,-2,W,90.1,Visitor,2018-19,Regular
Play On Charlotte U,Tennessee,Charlotte U,14,3,11/3/2018,21,W,90.9,Visitor,2018-19,Regular
Play On Georgia Tech,North Carolina,Georgia Tech,28,38,11/3/2018,-4,W,92.6,Visitor,2018-19,Regular
Play On San Jose State,Wyoming,San Jose State,24,9,11/3/2018,17.5,W,92.6,Visitor,2018-19,Regular
Play On USC,Oregon State,USC,21,38,11/3/2018,-15,W,93.5,Visitor,2018-19,Regular
Play On Central Michigan,Eastern Michigan,Central Michigan,17,7,11/3/2018,14,W,93.5,Visitor,2018-19,Regular
Play On Duke,Miami Florida,Duke,12,20,11/3/2018,9.5,W,94.3,Visitor,2018-19,Regular
Play On BYU,Boise State,BYU,21,16,11/3/2018,11.5,W,94.3,Visitor,2018-19,Regular
Play On Rutgers,Wisconsin,Rutgers,31,17,11/3/2018,29,W,94.3,Visitor,2018-19,Regular
Play On Missouri,Florida,Missouri,17,38,11/3/2018,5,W,94.3,Visitor,2018-19,Regular
Play On Stanford,Washington,Stanford,27,23,11/3/2018,9,W,94.3,Visitor,2018-19,Regular
Play On Boston College,Virginia Tech,Boston College,21,31,11/3/2018,-2,W,94.3,Visitor,2018-19,Regular
Play On Nebraska,Ohio State,Nebraska,36,31,11/3/2018,17,W,95.2,Visitor,2018-19,Regular
Play On Memphis,East Carolina,Memphis,41,59,11/3/2018,-11,W,95.2,Visitor,2018-19,Regular
Play On Fresno State,UNLV,Fresno State,3,48,11/3/2018,-27,W,95.2,Visitor,2018-19,Regular
Play On Florida Atlantic,Florida Intl,Florida Atlantic,14,49,11/3/2018,2,W,96.2,Visitor,2018-19,Regular
Play On Michigan State,Maryland,Michigan State,3,24,11/3/2018,-3.5,W,97.1,Visitor,2018-19,Regular
Play On Alabama,LSU,Alabama,0,29,11/3/2018,-14,W,97.1,Visitor,2018-19,Regular
Play On Air Force,Army,Air Force,17,14,11/3/2018,4.5,W,98,Visitor,2018-19,Regular
Play On Appalachian St,Coastal Carolina,Appalachian St,7,23,11/3/2018,-13.5,W,102,Visitor,2018-19,Regular
Play On Iowa State,Kansas,Iowa State,3,27,11/3/2018,-18.5,W,102,Visitor,2018-19,Regular
Play On Texas State,Georgia State,Texas State,31,40,11/3/2018,7,W,103,Visitor,2018-19,Regular
Play On Utah State,Hawaii,Utah State,17,56,11/4/2018,-17.5,W,100,Visitor,2018-19,Regular
Play On Kent,Buffalo,Kent,48,14,11/6/2018,17,L,-100,Visitor,2018-19,Regular
Play On Ohio,Miami Ohio,Ohio,30,28,11/7/2018,-4.5,L,-100,Visitor,2018-19,Regular
Play On Toledo,Northern Illinois,Toledo,38,15,11/7/2018,3.5,L,-100,Visitor,2018-19,Regular
Play On Wake Forest,NC State,Wake Forest,23,27,11/8/2018,19,W,97.1,Visitor,2018-19,Regular
Play On Louisville,Syracuse,Louisville,54,23,11/9/2018,20,L,-100,Visitor,2018-19,Regular
Play On Fresno State,Boise State,Fresno State,24,17,11/9/2018,-2.5,L,-100,Visitor,2018-19,Regular
Play On Maryland,Indiana,Maryland,34,32,11/10/2018,1,L,-100,Visitor,2018-19,Regular
Play On Oregon,Utah,Oregon,32,25,11/10/2018,5.5,L,-100,Visitor,2018-19,Regular
Play On Miami Florida,Georgia Tech,Miami Florida,27,21,11/10/2018,0,L,-100,Visitor,2018-19,Regular
Play On Tulsa,Memphis,Tulsa,47,21,11/10/2018,16.5,L,-100,Visitor,2018-19,Regular
Play On SMU,Connecticut,SMU,50,62,11/10/2018,-17.5,L,-100,Visitor,2018-19,Regular
Play On Purdue,Minnesota,Purdue,41,10,11/10/2018,-10.5,L,-100,Visitor,2018-19,Regular
Play On Oregon State,Stanford,Oregon State,48,17,11/10/2018,24.5,L,-100,Visitor,2018-19,Regular
Play On New Mexico,Air Force,New Mexico,42,24,11/10/2018,14,L,-100,Visitor,2018-19,Regular
Play On San Jose State,Utah State,San Jose State,62,24,11/10/2018,31,L,-100,Visitor,2018-19,Regular
Play On Akron,Eastern Michigan,Akron,27,7,11/10/2018,11.5,L,-100,Visitor,2018-19,Regular
Play On Illinois,Nebraska,Illinois,54,35,11/10/2018,17,L,-100,Visitor,2018-19,Regular
Play On Mississippi,Texas A&M,Mississippi,38,24,11/10/2018,13.5,L,-100,Visitor,2018-19,Regular
Play On Auburn,Georgia,Auburn,27,10,11/10/2018,13.5,L,-100,Visitor,2018-19,Regular
Play On Mississippi St,Alabama,Mississippi St,24,0,11/10/2018,21.5,L,-100,Visitor,2018-19,Regular
Play On Michigan,Rutgers,Michigan,7,42,11/10/2018,-36.5,L,-100,Visitor,2018-19,Regular
Play On Western Kentucky,Florida Atlantic,Western Kentucky,34,15,11/10/2018,17.5,L,-100,Visitor,2018-19,Regular
Play On TCU,West Virginia,TCU,47,10,11/10/2018,13,L,-100,Visitor,2018-19,Regular
Play On Virginia Tech,Pittsburgh,Virginia Tech,52,22,11/10/2018,4,L,-100,Visitor,2018-19,Regular
Play On North Texas,Old Dominion,North Texas,34,31,11/10/2018,-14,L,-100,Visitor,2018-19,Regular
Play On Georgia State,UL Lafayette,Georgia State,36,22,11/10/2018,13.5,L,-100,Visitor,2018-19,Regular
Play On LSU,Arkansas,LSU,17,24,11/10/2018,-12.5,L,-100,Visitor,2018-19,Regular
Play On Kentucky,Tennessee,Kentucky,24,7,11/10/2018,-5,L,-100,Visitor,2018-19,Regular
Play On Charlotte U,Marshall,Charlotte U,30,13,11/10/2018,13,L,-100,Visitor,2018-19,Regular
Play On Wisconsin,Penn State,Wisconsin,22,10,11/10/2018,7.5,L,-100,Visitor,2018-19,Regular
Play On Colorado State,Nevada,Colorado State,49,10,11/10/2018,14,L,-100,Visitor,2018-19,Regular
Play On Florida State,Notre Dame,Florida State,42,13,11/10/2018,17,L,-100,Visitor,2018-19,Regular
Play On South Carolina,Florida,South Carolina,35,31,11/10/2018,7,W,86.2,Visitor,2018-19,Regular
Play On UL Monroe,South Alabama,UL Monroe,10,38,11/10/2018,-7.5,W,87,Visitor,2018-19,Regular
Play On Lafayette,Army,Lafayette,31,13,11/10/2018,46,W,87,Visitor,2018-19,Regular
Play On Appalachian St,Texas State,Appalachian St,7,38,11/10/2018,-18.5,W,87.7,Visitor,2018-19,Regular
Play On Temple,Houston,Temple,49,59,11/10/2018,3.5,W,87.7,Visitor,2018-19,Regular
Play On Bowling Green,Central Michigan,Bowling Green,13,24,11/10/2018,7.5,W,89.3,Visitor,2018-19,Regular
Play On North Carolina,Duke,North Carolina,42,35,11/10/2018,7.5,W,90.1,Visitor,2018-19,Regular
Play On Arkansas State,Coastal Carolina,Arkansas State,16,44,11/10/2018,-6.5,W,90.9,Visitor,2018-19,Regular
Play On Clemson,Boston College,Clemson,7,27,11/10/2018,-17.5,W,90.9,Visitor,2018-19,Regular
Play On Baylor,Iowa State,Baylor,28,14,11/10/2018,17,W,90.9,Visitor,2018-19,Regular
Play On Middle Tenn St,UTEP,Middle Tenn St,32,48,11/10/2018,-13.5,W,92.6,Visitor,2018-19,Regular
Play On UNLV,San Diego State,UNLV,24,27,11/10/2018,24,W,92.6,Visitor,2018-19,Regular
Play On Rice,Louisiana Tech,Rice,28,13,11/10/2018,24,W,92.6,Visitor,2018-19,Regular
Play On Washington State,Colorado,Washington State,7,31,11/10/2018,-5.5,W,95.2,Visitor,2018-19,Regular
Play On South Florida,Cincinnati,South Florida,35,23,11/10/2018,15.5,W,95.2,Visitor,2018-19,Regular
Play On Florida Intl,UTSA,Florida Intl,7,45,11/10/2018,-10.5,W,95.2,Visitor,2018-19,Regular
Play On Texas,Texas Tech,Texas,34,41,11/10/2018,-2,W,95.2,Visitor,2018-19,Regular
Play On Oklahoma State,Oklahoma,Oklahoma State,48,47,11/10/2018,21.5,W,95.2,Visitor,2018-19,Regular
Play On Ohio State,Michigan State,Ohio State,6,26,11/10/2018,-3,W,96.2,Visitor,2018-19,Regular
Play On Navy,Central Florida,Navy,35,24,11/10/2018,23.5,W,97.1,Visitor,2018-19,Regular
Play On Vanderbilt,Missouri,Vanderbilt,33,28,11/10/2018,14,W,97.1,Visitor,2018-19,Regular
Play On California,USC,California,14,15,11/10/2018,4,W,97.1,Visitor,2018-19,Regular
Play On Southern Miss,UAB,Southern Miss,26,23,11/10/2018,13.5,W,97.1,Visitor,2018-19,Regular
Play On BYU,Massachusetts,BYU,16,35,11/10/2018,-14,W,99,Visitor,2018-19,Regular
Play On East Carolina,Tulane,East Carolina,24,18,11/10/2018,10.5,W,100,Visitor,2018-19,Regular
Play On Kansas,Kansas State,Kansas,21,17,11/10/2018,9,W,101,Visitor,2018-19,Regular
Play On Troy,Georgia Southern,Troy,21,35,11/10/2018,-2.5,W,101,Visitor,2018-19,Regular
Play On Northwestern,Iowa,Northwestern,10,14,11/10/2018,10,W,103,Visitor,2018-19,Regular
Play On Liberty,Virginia,Liberty,45,24,11/10/2018,24,W,103,Visitor,2018-19,Regular
Play On UCLA,Arizona State,UCLA,31,28,11/10/2018,11.5,W,104,Visitor,2018-19,Regular
Play On Western Michigan,Ball State,Western Michigan,42,41,11/13/2018,-10,L,-100,Visitor,2018-19,Regular
Play On Buffalo,Ohio,Buffalo,52,17,11/14/2018,2.5,L,-100,Visitor,2018-19,Regular
Play On Miami Ohio,Northern Illinois,Miami Ohio,7,13,11/14/2018,6,W,90.9,Visitor,2018-19,Regular
Play On Tulane,Houston,Tulane,48,17,11/15/2018,7.5,L,-100,Visitor,2018-19,Regular
Play On Toledo,Kent,Toledo,34,56,11/15/2018,-11.5,W,94.3,Visitor,2018-19,Regular
Play On Florida Atlantic,North Texas,Florida Atlantic,41,38,11/15/2018,4,W,94.3,Visitor,2018-19,Regular
Play On Boise State,New Mexico,Boise State,14,45,11/16/2018,-21,W,84,Visitor,2018-19,Regular
Play On Memphis,SMU,Memphis,18,28,11/16/2018,-7.5,W,87.7,Visitor,2018-19,Regular
Play On Syracuse,Notre Dame,Syracuse,36,3,11/17/2018,9.5,L,-100,Neutral,2018-19,Regular
Play On Utah State,Colorado State,Utah State,24,29,11/17/2018,-29.5,L,-100,Visitor,2018-19,Regular
Play On Tennessee Chat,South Carolina,Tennessee Chat,49,9,11/17/2018,29.5,L,-100,Visitor,2018-19,Regular
Play On Mississippi,Vanderbilt,Mississippi,36,29,11/17/2018,3,L,-100,Visitor,2018-19,Regular
Play On Texas Tech,Kansas State,Texas Tech,21,6,11/17/2018,-6.5,L,-100,Visitor,2018-19,Regular
Play On Liberty,Auburn,Liberty,53,0,11/17/2018,29.5,L,-100,Visitor,2018-19,Regular
Play On New Mexico State,BYU,New Mexico State,45,10,11/17/2018,26,L,-100,Visitor,2018-19,Regular
Play On Tulsa,Navy,Tulsa,37,29,11/17/2018,5,L,-100,Visitor,2018-19,Regular
Play On Connecticut,East Carolina,Connecticut,55,21,11/17/2018,17,L,-100,Visitor,2018-19,Regular
Play On Arkansas,Mississippi St,Arkansas,52,6,11/17/2018,22.5,L,-100,Visitor,2018-19,Regular
Play On UTEP,Western Kentucky,UTEP,40,16,11/17/2018,6.5,L,-100,Visitor,2018-19,Regular
Play On USC,UCLA,USC,34,27,11/17/2018,-2.5,L,-100,Visitor,2018-19,Regular
Play On Ohio State,Maryland,Ohio State,51,52,11/17/2018,-13.5,L,-100,Visitor,2018-19,Regular
Play On Air Force,Wyoming,Air Force,35,27,11/17/2018,3,L,-100,Visitor,2018-19,Regular
Play On VMI,Old Dominion,VMI,77,14,11/17/2018,30.5,L,-100,Visitor,2018-19,Regular
Play On Boston College,Florida State,Boston College,22,21,11/17/2018,-2.5,L,-100,Visitor,2018-19,Regular
Play On UNLV,Hawaii,UNLV,35,28,11/17/2018,6.5,L,-100,Visitor,2018-19,Regular
Play On Michigan State,Nebraska,Michigan State,9,6,11/17/2018,1.5,L,-100,Visitor,2018-19,Regular
Play On Idaho,Florida,Idaho,63,10,11/17/2018,39.5,L,-100,Visitor,2018-19,Regular
Play On West Virginia,Oklahoma State,West Virginia,45,41,11/17/2018,-6,L,-100,Visitor,2018-19,Regular
Play On Cincinnati,Central Florida,Cincinnati,38,13,11/17/2018,6.5,L,-100,Visitor,2018-19,Regular
Play On UL Monroe,Arkansas State,UL Monroe,31,17,11/17/2018,7.5,L,-100,Visitor,2018-19,Regular
Play On Georgia State,Appalachian St,Georgia State,45,17,11/17/2018,27.5,L,-100,Visitor,2018-19,Regular
Play On UAB,Texas A&M,UAB,41,20,11/17/2018,17,L,-100,Visitor,2018-19,Regular
Play On Arizona,Washington State,Arizona,69,28,11/17/2018,10.5,L,-100,Visitor,2018-19,Regular
Play On Colgate,Army,Colgate,28,14,11/17/2018,10.5,L,-100,Visitor,2018-19,Regular
Play On Iowa State,Texas,Iowa State,24,10,11/17/2018,1.5,L,-100,Visitor,2018-19,Regular
Play On Penn State,Rutgers,Penn State,7,20,11/17/2018,-28,L,-100,Visitor,2018-19,Regular
Play On Nevada,San Jose State,Nevada,12,21,11/17/2018,-14.5,L,-100,Visitor,2018-19,Regular
Play On Citadel,Alabama,Citadel,50,17,11/17/2018,53.5,W,74.1,Visitor,2018-19,Regular
Play On Northwestern,Minnesota,Northwestern,14,24,11/17/2018,3,W,83.3,Visitor,2018-19,Regular
Play On Notre Dame,Notre Dame,Syracuse,36,3,11/17/2018,-9.5,W,84.7,Neutral,2018-19,Regular
Play On Middle Tenn St,Kentucky,Middle Tenn St,34,23,11/17/2018,16.5,W,87,Visitor,2018-19,Regular
Play On Western Carolina,North Carolina,Western Carolina,49,26,11/17/2018,29,W,87,Visitor,2018-19,Regular
Play On Texas State,Troy,Texas State,12,7,11/17/2018,23,W,87.7,Visitor,2018-19,Regular
Play On Wisconsin,Purdue,Wisconsin,44,47,11/17/2018,3.5,W,87.7,Visitor,2018-19,Regular
Play On NC State,Louisville,NC State,10,52,11/17/2018,-15,W,87.7,Visitor,2018-19,Regular
Play On Kansas,Oklahoma,Kansas,55,40,11/17/2018,35,W,87.7,Visitor,2018-19,Regular
Play On Bowling Green,Akron,Bowling Green,6,21,11/17/2018,6.5,W,87.7,Visitor,2018-19,Regular
Play On South Florida,Temple,South Florida,27,17,11/17/2018,14,W,87.7,Visitor,2018-19,Regular
Play On Louisiana Tech,Southern Miss,Louisiana Tech,21,20,11/17/2018,2.5,W,89.3,Visitor,2018-19,Regular
Play On Florida Intl,Charlotte U,Florida Intl,35,42,11/17/2018,-3.5,W,90.1,Visitor,2018-19,Regular
Play On Oregon State,Washington,Oregon State,42,23,11/17/2018,32.5,W,90.1,Visitor,2018-19,Regular
Play On Pittsburgh,Wake Forest,Pittsburgh,13,34,11/17/2018,-5,W,90.9,Visitor,2018-19,Regular
Play On Miami Florida,Virginia Tech,Miami Florida,14,38,11/17/2018,-6.5,W,90.9,Visitor,2018-19,Regular
Play On Iowa,Illinois,Iowa,0,63,11/17/2018,-15.5,W,91.7,Visitor,2018-19,Regular
Play On Arizona State,Oregon,Arizona State,31,29,11/17/2018,3,W,91.7,Visitor,2018-19,Regular
Play On Utah,Colorado,Utah,7,30,11/17/2018,-7,W,93.5,Visitor,2018-19,Regular
Play On Duke,Clemson,Duke,35,6,11/17/2018,30,W,94.3,Visitor,2018-19,Regular
Play On San Diego State,Fresno State,San Diego State,23,14,11/17/2018,10,W,94.3,Visitor,2018-19,Regular
Play On Massachusetts,Georgia,Massachusetts,66,27,11/17/2018,41.5,W,94.3,Visitor,2018-19,Regular
Play On Virginia,Georgia Tech,Virginia,30,27,11/17/2018,6,W,94.3,Visitor,2018-19,Regular
Play On Rice,LSU,Rice,42,10,11/17/2018,41.5,W,94.3,Visitor,2018-19,Regular
Play On TCU,Baylor,TCU,9,16,11/17/2018,0,W,96.2,Visitor,2018-19,Regular
Play On UTSA,Marshall,UTSA,23,0,11/17/2018,27,W,97.1,Visitor,2018-19,Regular
Play On Missouri,Tennessee,Missouri,17,50,11/17/2018,-6,W,97.1,Visitor,2018-19,Regular
Play On South Alabama,UL Lafayette,South Alabama,48,38,11/17/2018,19,W,99,Visitor,2018-19,Regular
Play On Indiana,Michigan,Indiana,31,20,11/17/2018,28,W,99,Visitor,2018-19,Regular
Play On Georgia Southern,Coastal Carolina,Georgia Southern,17,41,11/17/2018,-7.5,W,105,Visitor,2018-19,Regular
Play On Ball State,Miami Ohio,Ball State,42,21,11/20/2018,15,L,-100,Visitor,2018-19,Regular
Play On Northern Illinois,Western Michigan,Northern Illinois,28,21,11/20/2018,-6.5,L,-100,Visitor,2018-19,Regular
Play On Colorado State,Air Force,Colorado State,27,19,11/22/2018,14.5,W,90.1,Visitor,2018-19,Regular
Play On Mississippi St,Mississippi,Mississippi St,3,35,11/22/2018,-12.5,W,92.6,Visitor,2018-19,Regular
Play On Virginia,Virginia Tech,Virginia,34,31,11/23/2018,-5,L,-100,Visitor,2018-19,Regular
Play On Houston,Memphis,Houston,52,31,11/23/2018,9.5,L,-100,Visitor,2018-19,Regular
Play On East Carolina,Cincinnati,East Carolina,56,6,11/23/2018,16.5,L,-100,Visitor,2018-19,Regular
Play On Central Michigan,Toledo,Central Michigan,51,13,11/23/2018,19,L,-100,Visitor,2018-19,Regular
Play On Eastern Michigan,Kent,Eastern Michigan,20,28,11/23/2018,-12.5,L,-100,Visitor,2018-19,Regular
Play On Texas,Kansas,Texas,17,24,11/23/2018,-14.5,L,-100,Visitor,2018-19,Regular
Play On Coastal Carolina,South Alabama,Coastal Carolina,31,28,11/23/2018,-1.5,L,-100,Visitor,2018-19,Regular
Play On Arkansas,Missouri,Arkansas,38,0,11/23/2018,24,L,-100,Visitor,2018-19,Regular
Play On Oklahoma,West Virginia,Oklahoma,56,59,11/23/2018,-3,P,0,Visitor,2018-19,Regular
Play On Akron,Ohio,Akron,49,28,11/23/2018,24,W,89.3,Visitor,2018-19,Regular
Play On Oregon,Oregon State,Oregon,15,55,11/23/2018,-18,W,96.2,Visitor,2018-19,Regular
Play On Buffalo,Bowling Green,Buffalo,14,44,11/23/2018,-16,W,96.2,Visitor,2018-19,Regular
Play On Central Florida,South Florida,Central Florida,10,38,11/23/2018,-16.5,W,100,Visitor,2018-19,Regular
Play On Nebraska,Iowa,Nebraska,31,28,11/23/2018,7.5,W,101,Visitor,2018-19,Regular
Play On Washington,Washington State,Washington,15,28,11/23/2018,2.5,W,108,Visitor,2018-19,Regular
Play On Auburn,Alabama,Auburn,52,21,11/24/2018,26,L,-100,Visitor,2018-19,Regular
Play On Notre Dame,USC,Notre Dame,17,24,11/24/2018,-14,L,-100,Visitor,2018-19,Regular
Play On NC State,North Carolina,NC State,28,34,11/24/2018,-7,L,-100,Visitor,2018-19,Regular
Play On Tennessee,Vanderbilt,Tennessee,38,13,11/24/2018,3.5,L,-100,Visitor,2018-19,Regular
Play On Marshall,Florida Intl,Marshall,25,28,11/24/2018,-3.5,L,-100,Visitor,2018-19,Regular
Play On UAB,Middle Tenn St,UAB,27,3,11/24/2018,-3,L,-100,Visitor,2018-19,Regular
Play On SMU,Tulsa,SMU,27,24,11/24/2018,-2.5,L,-100,Visitor,2018-19,Regular
Play On Maryland,Penn State,Maryland,38,3,11/24/2018,12,L,-100,Visitor,2018-19,Regular
Play On Texas Tech,Baylor,Texas Tech,35,24,11/24/2018,-6,L,-100,Neutral,2018-19,Regular
Play On Old Dominion,Rice,Old Dominion,27,13,11/24/2018,-7.5,L,-100,Visitor,2018-19,Regular
Play On Georgia Tech,Georgia,Georgia Tech,45,21,11/24/2018,16.5,L,-100,Visitor,2018-19,Regular
Play On Arizona State,Arizona,Arizona State,40,41,11/24/2018,-1.5,L,-100,Visitor,2018-19,Regular
Play On Pittsburgh,Miami Florida,Pittsburgh,24,3,11/24/2018,5.5,L,-100,Visitor,2018-19,Regular
Play On Michigan,Ohio State,Michigan,62,39,11/24/2018,-4.5,L,-100,Visitor,2018-19,Regular
Play On Colorado,California,Colorado,33,21,11/24/2018,10.5,L,-100,Visitor,2018-19,Regular
Play On North Texas,UTSA,North Texas,21,24,11/24/2018,-24.5,L,-100,Visitor,2018-19,Regular
Play On Oklahoma State,TCU,Oklahoma State,31,24,11/24/2018,-5.5,L,-100,Visitor,2018-19,Regular
Play On Utah State,Boise State,Utah State,33,24,11/24/2018,2.5,L,-100,Visitor,2018-19,Regular
Play On New Mexico State,Liberty,New Mexico State,28,21,11/24/2018,6,L,-100,Visitor,2018-19,Regular
Play On Nevada,UNLV,Nevada,34,29,11/24/2018,-14,L,-100,Visitor,2018-19,Regular
